Date : 2023-12-18 09:58:30
Directory : /Users/fxzer/Program/Vue/vite
Total : 1662 files,  77738 codes, 5551 comments, 14096 blanks, all 97385 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/plugins/reporter.ts                                                   | TypeScript              |        319 |          9 |         33 |        361 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/plugins/resolve.ts                                                    | TypeScript              |      1,024 |        149 |        119 |      1,292 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/plugins/splitVendorChunk.ts                                           | TypeScript              |        122 |         14 |         10 |        146 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/plugins/terser.ts                                                     | TypeScript              |         74 |         15 |         12 |        101 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/plugins/wasm.ts                                                       | TypeScript              |         78 |          5 |         13 |         96 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/plugins/worker.ts                                                     | TypeScript              |        382 |         22 |         38 |        442 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/plugins/workerImportMetaUrl.ts                                        | TypeScript              |        171 |          5 |         27 |        203 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/preview.ts                                                            | TypeScript              |        172 |         42 |         27 |        241 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/publicDir.ts                                                          | TypeScript              |         53 |          4 |          9 |         66 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/publicUtils.ts                                                        | TypeScript              |         14 |          5 |          1 |         20 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/fixtures/lerna/lerna.json                            | JSON                    |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/fixtures/lerna/nested/package.json                   | JSON                    |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/fixtures/none/nested/package.json                    | JSON                    |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/fixtures/pnpm/nested/package.json                    | JSON                    |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/fixtures/pnpm/package.json                           | JSON                    |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/fixtures/pnpm/pnpm-workspace.yaml                    | YAML                    |          0 |          0 |          1 |          1 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/fixtures/yarn/nested/package.json                    | JSON                    |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/fixtures/yarn/package.json                           | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/moduleGraph.spec.ts                                  | TypeScript              |         29 |          0 |          6 |         35 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/pluginContainer.spec.ts                              | TypeScript              |        226 |          4 |         39 |        269 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/search-root.spec.ts                                  | TypeScript              |         35 |          1 |          7 |         43 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/__tests__/watcher.spec.ts                                      | TypeScript              |         21 |          0 |          4 |         25 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/hmr.ts                                                         | TypeScript              |        497 |         75 |         58 |        630 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/index.ts                                                       | TypeScript              |        727 |        247 |         89 |      1,063 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/base.ts                                            | TypeScript              |         52 |          8 |          7 |         67 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/compression.ts                                     | TypeScript              |         88 |         11 |         19 |        118 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/error.ts                                           | TypeScript              |         80 |          4 |          9 |         93 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/htmlFallback.ts                                    | TypeScript              |         59 |          8 |          7 |         74 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/indexHtml.ts                                       | TypeScript              |        390 |         27 |         43 |        460 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/notFound.ts                                        | TypeScript              |          7 |          1 |          2 |         10 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/proxy.ts                                           | TypeScript              |        150 |         16 |         15 |        181 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/static.ts                                          | TypeScript              |        218 |         29 |         27 |        274 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/time.ts                                            | TypeScript              |         15 |          1 |          3 |         19 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/middlewares/transform.ts                                       | TypeScript              |        220 |         33 |         20 |        273 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/moduleGraph.ts                                                 | TypeScript              |        344 |         91 |         38 |        473 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/openBrowser.ts                                                 | TypeScript              |        107 |         26 |         10 |        143 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/pluginContainer.ts                                             | TypeScript              |        704 |         67 |         68 |        839 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/searchRoot.ts                                                  | TypeScript              |         42 |         19 |         15 |         76 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/send.ts                                                        | TypeScript              |         83 |          4 |         11 |         98 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/sourcemap.ts                                                   | TypeScript              |        119 |          8 |         19 |        146 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/transformRequest.ts                                            | TypeScript              |        351 |         65 |         54 |        470 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/warmup.ts                                                      | TypeScript              |         66 |          9 |          7 |         82 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/server/ws.ts                                                          | TypeScript              |        245 |         48 |         21 |        314 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/shortcuts.ts                                                          | TypeScript              |        132 |          8 |         20 |        160 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/__tests__/fixtures/modules/has-error.js                           | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/__tests__/fixtures/modules/has-invalid-import.js                  | JavaScript              |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/__tests__/ssrLoadModule.spec.ts                                   | TypeScript              |         48 |          0 |          7 |         55 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/__tests__/ssrStacktrace.spec.ts                                   | TypeScript              |         26 |          0 |          4 |         30 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/__tests__/ssrTransform.spec.ts                                    | TypeScript              |        828 |         25 |        127 |        980 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/index.ts                                                          | TypeScript              |         37 |         25 |         10 |         72 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/ssrExternal.ts                                                    | TypeScript              |        115 |         13 |         12 |        140 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/ssrManifestPlugin.ts                                              | TypeScript              |         98 |          6 |          4 |        108 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/ssrModuleLoader.ts                                                | TypeScript              |        330 |         46 |         44 |        420 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/ssrStacktrace.ts                                                  | TypeScript              |         77 |          6 |         16 |         99 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/ssr/ssrTransform.ts                                                   | TypeScript              |        501 |         69 |         52 |        622 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/tsconfig.json                                                         | JSON with Comments      |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/utils.ts                                                              | TypeScript              |      1,118 |        120 |        144 |      1,382 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/node/watch.ts                                                              | TypeScript              |         42 |          1 |         10 |         53 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/shared/hmr.ts                                                              | TypeScript              |        202 |         19 |         31 |        252 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/shared/tsconfig.json                                                       | JSON with Comments      |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/alias.d.ts                                                           | TypeScript              |         13 |         42 |          7 |         62 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/anymatch.d.ts                                                        | TypeScript              |          4 |          0 |          2 |          6 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/chokidar.d.ts                                                        | TypeScript              |         58 |        137 |         35 |        230 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/commonjs.d.ts                                                        | TypeScript              |         26 |        203 |          2 |        231 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/connect.d.ts                                                         | TypeScript              |         54 |         45 |         13 |        112 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/dynamicImportVars.d.ts                                               | TypeScript              |          5 |         12 |          1 |         18 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/http-proxy.d.ts                                                      | TypeScript              |        156 |         76 |         19 |        251 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/lightningcss.d.ts                                                    | TypeScript              |         17 |          4 |          2 |         23 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/package.json                                                         | JSON                    |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/shims.d.ts                                                           | TypeScript              |         32 |          4 |          7 |         43 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/terser.d.ts                                                          | TypeScript              |        174 |         62 |         15 |        251 |
| /Users/fxzer/Program/Vue/vite/packages/vite/src/types/ws.d.ts                                                              | TypeScript              |        463 |         59 |         44 |        566 |
| /Users/fxzer/Program/Vue/vite/packages/vite/tsconfig.base.json                                                             | JSON                    |         13 |          0 |          1 |         14 |
| /Users/fxzer/Program/Vue/vite/packages/vite/tsconfig.check.json                                                            | JSON                    |         14 |          1 |          1 |         16 |
| /Users/fxzer/Program/Vue/vite/packages/vite/tsconfig.json                                                                  | JSON with Comments      |         14 |          0 |          1 |         15 |
| /Users/fxzer/Program/Vue/vite/packages/vite/types/customEvent.d.ts                                                         | TypeScript              |         25 |          6 |          5 |         36 |
| /Users/fxzer/Program/Vue/vite/packages/vite/types/hmrPayload.d.ts                                                          | TypeScript              |         51 |          3 |          8 |         62 |
| /Users/fxzer/Program/Vue/vite/packages/vite/types/hot.d.ts                                                                 | TypeScript              |         30 |          0 |          7 |         37 |
| /Users/fxzer/Program/Vue/vite/packages/vite/types/import-meta.d.ts                                                         | TypeScript              |          0 |          4 |          2 |          6 |
| /Users/fxzer/Program/Vue/vite/packages/vite/types/importGlob.d.ts                                                          | TypeScript              |         36 |         34 |          4 |         74 |
| /Users/fxzer/Program/Vue/vite/packages/vite/types/importMeta.d.ts                                                          | TypeScript              |         14 |          3 |          6 |         23 |
| /Users/fxzer/Program/Vue/vite/packages/vite/types/metadata.d.ts                                                            | TypeScript              |          9 |          0 |          2 |         11 |
| /Users/fxzer/Program/Vue/vite/packages/vite/types/package.json                                                             | JSON                    |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/patches/chokidar@3.5.3.patch                                                                 | Diff                    |         14 |          0 |          0 |         14 |
| /Users/fxzer/Program/Vue/vite/patches/dotenv-expand@10.0.0.patch                                                           | Diff                    |         16 |          0 |          2 |         18 |
| /Users/fxzer/Program/Vue/vite/patches/sirv@2.0.3.patch                                                                     | Diff                    |         66 |          0 |          7 |         73 |
| /Users/fxzer/Program/Vue/vite/playground/alias/__tests__/alias.spec.ts                                                     | TypeScript              |         43 |          0 |         10 |         53 |
| /Users/fxzer/Program/Vue/vite/playground/alias/customResolver.js                                                           | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/alias/dir/from-script-src.js                                                      | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/alias/dir/module/index.js                                                         | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/alias/dir/module/package.json                                                     | JSON                    |          6 |          0 |          1 |          7 |
| /Users/fxzer/Program/Vue/vite/playground/alias/dir/test.css                                                                | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/alias/dir/test.js                                                                 | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/alias/index.html                                                                  | HTML                    |         46 |          0 |          9 |         55 |
| /Users/fxzer/Program/Vue/vite/playground/alias/package.json                                                                | JSON                    |         20 |          0 |          1 |         21 |
| /Users/fxzer/Program/Vue/vite/playground/alias/test.js                                                                     | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/alias/vite.config.js                                                              | JavaScript              |         38 |          3 |          3 |         44 |
| /Users/fxzer/Program/Vue/vite/playground/assets-sanitize/+circle.svg                                                       | XML                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets-sanitize/.env                                                              | Properties              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/assets-sanitize/__tests__/assets-sanitize.spec.ts                                 | TypeScript              |         30 |          0 |          3 |         33 |
| /Users/fxzer/Program/Vue/vite/playground/assets-sanitize/_circle.svg                                                       | XML                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets-sanitize/index.html                                                        | HTML                    |         35 |          0 |          6 |         41 |
| /Users/fxzer/Program/Vue/vite/playground/assets-sanitize/index.js                                                          | JavaScript              |          9 |          0 |          1 |         10 |
| /Users/fxzer/Program/Vue/vite/playground/assets-sanitize/package.json                                                      | JSON                    |         12 |          0 |          1 |         13 |
| /Users/fxzer/Program/Vue/vite/playground/assets-sanitize/vite.config.js                                                    | JavaScript              |          9 |          1 |          2 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/assets/__tests__/assets.spec.ts                                                   | TypeScript              |        469 |          6 |         77 |        552 |
| /Users/fxzer/Program/Vue/vite/playground/assets/__tests__/relative-base/relative-base-assets.spec.ts                       | TypeScript              |        201 |          3 |         41 |        245 |
| /Users/fxzer/Program/Vue/vite/playground/assets/__tests__/runtime-base/runtime-base-assets.spec.ts                         | TypeScript              |        193 |          3 |         40 |        236 |
| /Users/fxzer/Program/Vue/vite/playground/assets/__tests__/url-base/url-base-assets.spec.ts                                 | TypeScript              |        194 |          1 |         39 |        234 |
| /Users/fxzer/Program/Vue/vite/playground/assets/asset/main.js                                                              | JavaScript              |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/assets/asset/style.css                                                            | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets/css/css-url.css                                                            | CSS                     |        100 |          8 |         20 |        128 |
| /Users/fxzer/Program/Vue/vite/playground/assets/css/fonts.css                                                              | CSS                     |         12 |          0 |          2 |         14 |
| /Users/fxzer/Program/Vue/vite/playground/assets/css/foo.module.css                                                         | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets/css/icons.css                                                              | CSS                     |         18 |          0 |          5 |         23 |
| /Users/fxzer/Program/Vue/vite/playground/assets/css/import.css                                                             | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets/css/manual-chunks.css                                                      | CSS                     |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/assets/css/nested/at-imported-css-url.css                                         | CSS                     |          4 |          0 |          1 |          5 |
| /Users/fxzer/Program/Vue/vite/playground/assets/foo.js                                                                     | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/assets/index.html                                                                 | HTML                    |        481 |          0 |         74 |        555 |
| /Users/fxzer/Program/Vue/vite/playground/assets/manifest.json                                                              | JSON                    |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/assets/nested/fragment-bg.svg                                                     | XML                     |         18 |          1 |          3 |         22 |
| /Users/fxzer/Program/Vue/vite/playground/assets/nested/fragment.svg                                                        | XML                     |         19 |          1 |          3 |         23 |
| /Users/fxzer/Program/Vue/vite/playground/assets/nested/test.js                                                             | JavaScript              |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets/package.json                                                               | JSON                    |         21 |          0 |          1 |         22 |
| /Users/fxzer/Program/Vue/vite/playground/assets/static/foo.css                                                             | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets/static/foo.json                                                            | JSON                    |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets/static/import-expression.js                                                | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/assets/static/raw.css                                                             | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/assets/static/raw.js                                                              | JavaScript              |          2 |          0 |          1 |          3 |
| /Users/fxzer/Program/Vue/vite/playground/assets/vite.config-relative-base.js                                               | JavaScript              |         26 |          0 |          2 |         28 |
| /Users/fxzer/Program/Vue/vite/playground/assets/vite.config-runtime-base.js                                                | JavaScript              |         58 |          1 |          3 |         62 |
| /Users/fxzer/Program/Vue/vite/playground/assets/vite.config-url-base.js                                                    | JavaScript              |         30 |          1 |          3 |         34 |
| /Users/fxzer/Program/Vue/vite/playground/assets/vite.config.js                                                             | JavaScript              |         18 |          0 |          2 |         20 |
| /Users/fxzer/Program/Vue/vite/playground/assets/テスト-測試-white space.js                                                      | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/__tests__/backend-integration.spec.ts                         | TypeScript              |         85 |          2 |         10 |         97 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/dir/foo.css                                                   | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/frontend/entrypoints/global.css                               | CSS                     |         26 |          0 |          6 |         32 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/frontend/entrypoints/index.html                               | HTML                    |         43 |          0 |         15 |         58 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/frontend/entrypoints/main.ts                                  | TypeScript              |          9 |          0 |          5 |         14 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/frontend/entrypoints/nested/blue.scss                         | SCSS                    |          4 |          0 |          2 |          6 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/frontend/entrypoints/nested/sub.ts                            | TypeScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/frontend/styles/background.css                                | CSS                     |         13 |          0 |          3 |         16 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/frontend/styles/imported.css                                  | CSS                     |          3 |          0 |          1 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/frontend/styles/tailwind.css                                  | CSS                     |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/package.json                                                  | JSON                    |         17 |          0 |          1 |         18 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/postcss.config.js                                             | JavaScript              |          9 |          0 |          3 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/references.css                                                | CSS                     |         10 |          0 |          2 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/tailwind.config.js                                            | JavaScript              |         10 |          1 |          2 |         13 |
| /Users/fxzer/Program/Vue/vite/playground/backend-integration/vite.config.js                                                | JavaScript              |         38 |          3 |          6 |         47 |
| /Users/fxzer/Program/Vue/vite/playground/build-old/__tests__/build-old.spec.ts                                             | TypeScript              |         10 |          0 |          2 |         12 |
| /Users/fxzer/Program/Vue/vite/playground/build-old/dynamic.js                                                              | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/build-old/index.html                                                              | HTML                    |         14 |          0 |          6 |         20 |
| /Users/fxzer/Program/Vue/vite/playground/build-old/package.json                                                            | JSON                    |         12 |          0 |          1 |         13 |
| /Users/fxzer/Program/Vue/vite/playground/build-old/vite.config.js                                                          | JavaScript              |          6 |          1 |          2 |          9 |
| /Users/fxzer/Program/Vue/vite/playground/cli-module/__tests__/cli-module.spec.ts                                           | TypeScript              |         23 |          2 |          2 |         27 |
| /Users/fxzer/Program/Vue/vite/playground/cli-module/__tests__/serve.ts                                                     | TypeScript              |        133 |         12 |         12 |        157 |
| /Users/fxzer/Program/Vue/vite/playground/cli-module/index.html                                                             | HTML                    |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/cli-module/index.js                                                               | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/cli-module/package.json                                                           | JSON                    |         15 |          0 |          1 |         16 |
| /Users/fxzer/Program/Vue/vite/playground/cli-module/vite.config.js                                                         | JavaScript              |         12 |          4 |          3 |         19 |
| /Users/fxzer/Program/Vue/vite/playground/cli/__tests__/cli.spec.ts                                                         | TypeScript              |         33 |          3 |          4 |         40 |
| /Users/fxzer/Program/Vue/vite/playground/cli/__tests__/serve.ts                                                            | TypeScript              |        137 |         12 |         11 |        160 |
| /Users/fxzer/Program/Vue/vite/playground/cli/index.html                                                                    | HTML                    |          2 |          0 |          2 |          4 |
| /Users/fxzer/Program/Vue/vite/playground/cli/index.js                                                                      | JavaScript              |          1 |          0 |          1 |          2 |
| /Users/fxzer/Program/Vue/vite/playground/cli/package.json                                                                  | JSON                    |         12 |          0 |          1 |         13 |
